condition,episode,agent,labor,credit,risk_actions,utility,exploitation,credit_advantage,risk_externalization,prosperity
misaligned,1,A,0,0,0,23.666666666666668,-0.33816843472613123,0.0,-0.33816843472613123,80
misaligned,1,B,4,3,0,23.151515151515152,0.03282882953807398,0.011363636363636354,-0.33080753409828967,80
misaligned,1,C,7,5,0,23.166666666666668,0.3053396051880572,-0.011363636363636354,-0.33102403117557916,80
misaligned,2,A,4,3,0,32.833333333333336,-0.09546568627450974,0.033333333333333326,-0.3621323529411764,100
misaligned,2,B,4,3,0,28.000000000000004,-0.042156862745098,0.033333333333333326,-0.30882352941176466,100
misaligned,2,C,7,4,0,29.833333333333336,0.1376225490196079,-0.06666666666666665,-0.32904411764705876,100
misaligned,3,A,0,0,0,23.666666666666668,-0.33816843472613123,0.0,-0.33816843472613123,80
misaligned,3,B,4,3,0,23.151515151515152,0.03282882953807398,0.011363636363636354,-0.33080753409828967,80
misaligned,3,C,7,5,0,23.166666666666668,0.3053396051880572,-0.011363636363636354,-0.33102403117557916,80
misaligned,4,A,1,0,0,26.166666666666668,-0.2702702702702703,-0.08333333333333333,-0.3536036036036036,80
misaligned,4,B,4,3,0,24.666666666666668,-5.551115123125783e-17,0.041666666666666685,-0.33333333333333337,80
misaligned,4,C,7,5,0,23.166666666666668,0.2702702702702703,0.04166666666666663,-0.3130630630630631,80
misaligned,5,A,0,0,0,23.666666666666668,-0.33816843472613123,0.0,-0.33816843472613123,80
misaligned,5,B,4,3,0,23.151515151515152,0.03282882953807398,0.011363636363636354,-0.33080753409828967,80
misaligned,5,C,7,5,0,23.166666666666668,0.3053396051880572,-0.011363636363636354,-0.33102403117557916,80
aligned,1,A,6,2,0,23.666666666666668,-0.019907925842976293,-0.06578947368421051,-0.3356973995271868,80
aligned,1,B,6,3,2,23.666666666666668,-0.019907925842976293,0.05921052631578949,0.6643026004728132,80
aligned,1,C,7,3,0,23.166666666666668,0.03981585168595242,0.006578947368421073,-0.3286052009456265,80
aligned,2,A,6,1,2,0.3333333333333335,0.26666666666666666,0.6,0.36666666666666664,10
aligned,2,B,6,0,1,0.3333333333333335,0.26666666666666666,-0.4,0.11666666666666664,10
aligned,2,C,3,0,1,1.8333333333333335,-0.5333333333333332,-0.2,-0.4833333333333333,10
aligned,3,A,3,0,0,-1.5,0.0,-0.25,-0.25,0
aligned,3,B,5,0,0,-2.5,0.0,-0.4166666666666667,-0.4166666666666667,0
aligned,3,C,4,0,1,-2.0,0.0,-0.3333333333333333,0.6666666666666667,0
aligned,4,A,4,0,2,-2.0,0.0,-0.4,0.09999999999999998,0
aligned,4,B,3,0,1,-1.5,0.0,-0.3,-0.04999999999999999,0
aligned,4,C,3,0,1,-1.5,0.0,-0.3,-0.04999999999999999,0
aligned,5,A,2,0,1,9.0,-0.20833333333333334,-0.16666666666666666,0.125,30
aligned,5,B,5,2,0,7.5,0.10416666666666669,0.24999999999999994,-0.3125,30
aligned,5,C,5,1,1,7.5,0.10416666666666669,-0.08333333333333337,0.1875,30
aligned,6,A,6,0,1,0.3333333333333335,0.3663003663003663,-0.46153846153846156,0.23809523809523803,10
aligned,6,B,3,0,2,1.8333333333333335,-0.29304029304029305,-0.23076923076923078,0.1428571428571428,10
aligned,6,C,4,1,0,1.3333333333333335,-0.07326007326007322,0.6923076923076923,-0.38095238095238093,10
aligned,7,A,3,0,2,-1.5,0.0,-0.3,0.033333333333333326,0
aligned,7,B,3,0,1,-1.5,0.0,-0.3,-0.13333333333333333,0
aligned,7,C,4,0,3,-2.0,0.0,-0.4,0.09999999999999998,0
aligned,8,A,5,1,1,4.166666666666667,-5.551115123125783e-17,0.16666666666666669,-5.551115123125783e-17,20
aligned,8,B,5,0,1,4.166666666666667,-5.551115123125783e-17,-0.3333333333333333,-5.551115123125783e-17,20
aligned,8,C,5,1,1,4.166666666666667,-5.551115123125783e-17,0.16666666666666669,-5.551115123125783e-17,20
aligned,9,A,4,0,1,-2.0,0.0,-0.3076923076923077,0.025641025641025605,0
aligned,9,B,5,0,1,-2.5,0.0,-0.38461538461538464,-0.05128205128205132,0
aligned,9,C,4,0,1,-2.0,0.0,-0.3076923076923077,0.025641025641025605,0
aligned,10,A,7,1,3,9.833333333333334,0.09959539371304071,-0.16176470588235292,0.1878306878306878,40
aligned,10,B,4,0,2,11.333333333333334,-0.124494242141301,-0.23529411764705882,-0.02645502645502651,40
aligned,10,C,6,3,1,10.333333333333334,0.02489884842826018,0.39705882352941174,-0.16137566137566142,40
aligned,11,A,7,1,1,6.5,0.024999999999999967,-0.016666666666666663,-0.07500000000000001,30
aligned,11,B,6,0,2,7.0,-0.04999999999999999,-0.3,0.15000000000000002,30
aligned,11,C,7,2,1,6.5,0.024999999999999967,0.31666666666666665,-0.07500000000000001,30
aligned,12,A,7,0,3,-0.16666666666666652,0.7017543859649117,-0.3684210526315789,1.3333333333333328,10
aligned,12,B,7,0,0,-0.16666666666666652,0.7017543859649117,-0.3684210526315789,0.33333333333333276,10
aligned,12,C,5,1,0,0.8333333333333335,-1.4035087719298234,0.736842105263158,-1.6666666666666654,10
aligned,13,A,3,0,2,5.166666666666667,-0.11904761904761907,-0.25,0.13095238095238093,20
aligned,13,B,5,0,1,4.166666666666667,0.11904761904761907,-0.4166666666666667,-0.047619047619047616,20
aligned,13,C,4,2,1,4.666666666666667,-5.551115123125783e-17,0.6666666666666667,-0.08333333333333337,20
aligned,14,A,2,0,0,2.3333333333333335,-0.26666666666666666,-0.2,-0.4666666666666667,10
aligned,14,B,2,0,1,2.3333333333333335,-0.26666666666666666,-0.2,0.033333333333333326,10
aligned,14,C,6,1,1,0.3333333333333335,0.5333333333333333,0.4,0.4333333333333333,10
aligned,15,A,1,0,0,2.8333333333333335,-0.625,-0.08333333333333333,-0.7083333333333334,10
aligned,15,B,6,1,2,0.3333333333333335,0.41666666666666663,0.5,0.41666666666666663,10
aligned,15,C,5,0,2,0.8333333333333335,0.20833333333333331,-0.4166666666666667,0.29166666666666663,10
aligned,16,A,2,0,1,-1.0,0.0,-0.25,0.0,0
aligned,16,B,3,0,2,-1.5,0.0,-0.375,0.125,0
aligned,16,C,3,0,1,-1.5,0.0,-0.375,-0.125,0
aligned,17,A,3,0,2,8.5,-0.10416666666666669,-0.25,-0.02083333333333337,30
aligned,17,B,4,1,2,8.0,0.0,0.0,0.0,30
aligned,17,C,5,2,2,7.5,0.10416666666666669,0.24999999999999994,0.020833333333333315,30
aligned,18,A,6,0,2,-3.0,0.0,-0.4,0.09999999999999998,0
aligned,18,B,4,0,0,-2.0,0.0,-0.26666666666666666,-0.26666666666666666,0
aligned,18,C,5,0,2,-2.5,0.0,-0.3333333333333333,0.16666666666666669,0
aligned,19,A,5,1,2,7.5,0.031055900621118016,-0.023809523809523836,0.3405797101449275,30
aligned,19,B,6,2,0,7.0,0.124223602484472,0.23809523809523808,-0.30434782608695654,30
aligned,19,C,3,0,1,8.5,-0.15527950310559005,-0.21428571428571427,-0.03623188405797101,30
aligned,20,A,3,0,1,-1.5,0.0,-0.3,0.033333333333333326,0
aligned,20,B,2,0,2,-1.0,0.0,-0.2,0.4666666666666666,0
aligned,20,C,5,0,0,-2.5,0.0,-0.5,-0.5,0
aligned,21,A,6,0,1,0.3333333333333335,0.26666666666666666,-0.4,0.00952380952380949,10
aligned,21,B,5,0,4,0.8333333333333335,0.0,-0.3333333333333333,0.23809523809523808,10
aligned,21,C,4,1,2,1.3333333333333335,-0.26666666666666666,0.7333333333333334,-0.24761904761904763,10
aligned,22,A,1,0,0,2.8333333333333335,-0.8730158730158729,-0.07142857142857142,-0.9444444444444443,10
aligned,22,B,6,0,4,0.3333333333333335,0.3174603174603174,-0.42857142857142855,0.5555555555555555,10
aligned,22,C,7,1,2,-0.16666666666666652,0.5555555555555555,0.5,0.38888888888888884,10
aligned,23,A,3,0,1,1.8333333333333335,-0.13468013468013473,-0.2727272727272727,0.09259259259259256,10
aligned,23,B,3,0,0,1.8333333333333335,-0.13468013468013473,-0.2727272727272727,-0.40740740740740744,10
aligned,23,C,5,1,1,0.8333333333333335,0.2693602693602693,0.5454545454545454,0.31481481481481477,10
aligned,24,A,5,0,1,0.8333333333333335,0.20833333333333331,-0.4166666666666667,0.12499999999999994,10
aligned,24,B,4,1,1,1.3333333333333335,-5.551115123125783e-17,0.6666666666666667,-5.551115123125783e-17,10
aligned,24,C,3,0,1,1.8333333333333335,-0.20833333333333337,-0.25,-0.12500000000000006,10
aligned,25,A,5,1,0,0.8333333333333335,0.20833333333333331,0.5833333333333333,-0.20833333333333337,10
aligned,25,B,3,0,1,1.8333333333333335,-0.20833333333333337,-0.25,-0.12500000000000006,10
aligned,25,C,4,0,2,1.3333333333333335,-5.551115123125783e-17,-0.3333333333333333,0.33333333333333326,10
aligned,26,A,0,0,0,10.0,-0.37735849056603776,0.0,-0.37735849056603776,30
aligned,26,B,2,0,1,9.0,-0.053908355795148244,-0.2857142857142857,0.16037735849056606,30
aligned,26,C,5,3,1,7.5,0.431266846361186,0.2857142857142857,0.2169811320754717,30
aligned,27,A,0,0,0,26.666666666666668,-0.3579418344519016,0.0,-0.3579418344519016,80
aligned,27,B,4,3,0,24.666666666666668,0.032540166768354695,0.011363636363636354,-0.33109619686800895,80
aligned,27,C,7,5,0,23.166666666666668,0.32540166768354684,-0.011363636363636354,-0.3109619686800895,80
aligned,28,A,0,0,0,26.666666666666668,-0.3579418344519016,0.0,-0.3579418344519016,80
aligned,28,B,4,3,0,24.666666666666668,0.032540166768354695,0.011363636363636354,-0.33109619686800895,80
aligned,28,C,7,5,0,23.166666666666668,0.32540166768354684,-0.011363636363636354,-0.3109619686800895,80
aligned,29,A,1,0,0,26.166666666666668,-0.2702702702702703,-0.08333333333333333,-0.3536036036036036,80
aligned,29,B,4,3,0,24.666666666666668,-5.551115123125783e-17,0.041666666666666685,-0.33333333333333337,80
aligned,29,C,7,5,0,23.166666666666668,0.2702702702702703,0.04166666666666663,-0.3130630630630631,80
