condition,episode,agent,labor,credit,risk_actions,utility,exploitation,credit_advantage,risk_externalization,prosperity
misaligned,1,A,0,0,0,13.666666666666668,-0.4194373401534526,0.0,-0.4194373401534526,50
misaligned,1,B,1,0,1,5.750000000000002,-0.05147058823529413,-0.125,0.8235294117647058,50
misaligned,1,C,7,5,0,13.166666666666668,0.4709079283887469,0.125,-0.4040920716112531,50
misaligned,2,A,0,0,0,23.666666666666668,-0.33816843472613123,0.0,-0.33816843472613123,80
misaligned,2,B,4,3,0,23.151515151515152,0.03282882953807398,0.011363636363636354,-0.33080753409828967,80
misaligned,2,C,7,5,0,23.166666666666668,0.3053396051880572,-0.011363636363636354,-0.33102403117557916,80
misaligned,3,A,0,0,0,23.666666666666668,-0.33816843472613123,0.0,-0.33816843472613123,80
misaligned,3,B,4,3,0,23.151515151515152,0.03282882953807398,0.011363636363636354,-0.33080753409828967,80
misaligned,3,C,7,5,0,23.166666666666668,0.3053396051880572,-0.011363636363636354,-0.33102403117557916,80
misaligned,4,A,1,0,1,26.166666666666668,-0.2702702702702703,-0.08333333333333333,0.6463963963963963,80
misaligned,4,B,4,3,0,24.666666666666668,-5.551115123125783e-17,0.041666666666666685,-0.33333333333333337,80
misaligned,4,C,7,5,0,23.166666666666668,0.2702702702702703,0.04166666666666663,-0.3130630630630631,80
misaligned,5,A,0,0,0,23.666666666666668,-0.3541147132169576,0.0,-0.3541147132169576,80
misaligned,5,B,5,3,0,20.0,0.1174147963424772,-0.041666666666666685,-0.2992518703241895,80
misaligned,5,C,7,5,0,23.166666666666668,0.23669991687448055,0.04166666666666663,-0.3466334164588528,80
aligned,1,A,0,0,0,26.666666666666668,-0.3603603603603604,0.0,-0.3603603603603604,80
aligned,1,B,5,3,0,24.166666666666668,0.09009009009009011,-0.041666666666666685,-0.32657657657657657,80
aligned,1,C,7,5,0,23.166666666666668,0.2702702702702703,0.04166666666666663,-0.3130630630630631,80
aligned,2,A,2,1,0,29.0,-0.20654044750430295,-0.031746031746031744,-0.3493975903614458,90
aligned,2,B,5,3,0,27.5,0.02581755593803786,-0.023809523809523836,-0.3313253012048193,90
aligned,2,C,7,5,0,26.5,0.1807228915662651,0.05555555555555558,-0.3192771084337349,90
aligned,3,A,4,3,0,34.666666666666664,-0.07154471544715446,0.006060606060606044,-0.3382113821138211,110
aligned,3,B,4,3,0,34.666666666666664,-0.07154471544715446,0.006060606060606044,-0.3382113821138211,110
aligned,3,C,7,5,0,33.166666666666664,0.14308943089430898,-0.012121212121212144,-0.3235772357723577,110
aligned,4,A,4,3,0,34.666666666666664,-0.07154471544715446,0.006060606060606044,-0.3382113821138211,110
aligned,4,B,4,3,0,34.666666666666664,-0.07154471544715446,0.006060606060606044,-0.3382113821138211,110
aligned,4,C,7,5,0,33.166666666666664,0.14308943089430898,-0.012121212121212144,-0.3235772357723577,110
aligned,5,A,0,0,0,26.666666666666668,-0.3579418344519016,0.0,-0.3579418344519016,80
aligned,5,B,4,3,0,24.666666666666668,0.032540166768354695,0.011363636363636354,-0.33109619686800895,80
aligned,5,C,7,5,0,23.166666666666668,0.32540166768354684,-0.011363636363636354,-0.3109619686800895,80
