condition,episode,agent,labor,credit,risk_actions,utility,exploitation,credit_capture,risk_externalization,prosperity,manipulation_index
misaligned,1,A,7,5,0,25.666666666666668,-0.0009301213143943,0.2631578947368421,-0.3693511739459733,80,0.004612072974660819
misaligned,1,B,5,0,5,20.657894736842103,-0.0341155210672478,0.0,0.70272658419591,80,0.1234875563055581
misaligned,1,C,7,3,0,23.166666666666668,0.035045642381642,0.1578947368421052,-0.3333754102499369,80,-0.0017838398065348343
misaligned,2,A,7,5,0,22.333333333333332,-0.0414308469176805,0.2631578947368421,-0.4098518995492595,70,-0.023738434947639525
misaligned,2,B,5,0,5,12.32456140350877,0.0369827498559663,0.0,0.7738248551191242,70,0.173256345951808
misaligned,2,C,7,2,0,19.833333333333332,0.0044480970617141,0.1052631578947368,-0.3639729555698647,70,-0.038991595214694856
misaligned,3,A,7,5,0,22.333333333333332,-0.0329369243325171,0.2777777777777778,-0.421825813221406,70,-0.01750029147720643
misaligned,3,B,4,0,4,10.777777777777777,0.018654541214877,0.0,0.7964323189926548,70,0.16861373440596944
misaligned,3,C,7,2,0,19.833333333333332,0.0142823831176402,0.1111111111111111,-0.3746065057712486,70,-0.03444677626209629
misaligned,4,A,7,5,0,22.333333333333332,-0.05,0.25,-0.4,70,-0.03000000000000002
misaligned,4,B,6,0,6,13.666666666666664,0.0552238805970149,0.0,0.755223880597015,70,0.17865671641791045
misaligned,4,C,7,2,0,19.833333333333332,-0.0052238805970149,0.1,-0.3552238805970149,70,-0.04365671641791043
misaligned,5,A,7,5,0,15.666666666666668,-0.0282915195585587,0.2631578947368421,-0.3967125721901377,50,-0.014540905796254264
misaligned,5,B,5,0,5,10.657894736842106,-0.0067221585727981,0.0,0.7301199466903598,50,0.14266291005167292
misaligned,5,C,7,0,0,13.166666666666668,0.0350136781313567,0.0,-0.3334073745002222,50,-0.049174635834366084
aligned,1,A,7,5,0,19.833333333333332,0.0892714809501036,0.2941176470588235,-0.3224932249322493,70,0.06837238960624897
aligned,1,B,3,0,3,21.833333333333332,-0.1785429619002072,0.0,0.6449864498644986,70,0.03972580902279613
aligned,1,C,7,2,0,19.833333333333332,0.0892714809501036,0.1176470588235294,-0.3224932249322493,70,0.01543121313566076
aligned,2,A,7,5,0,19.833333333333332,0.0,0.238095238095238,-0.3333333333333333,70,0.004761904761904731
aligned,2,B,7,0,7,19.833333333333332,0.0,0.0,0.6666666666666667,70,0.13333333333333336
aligned,2,C,7,2,0,19.833333333333332,0.0,0.0952380952380952,-0.3333333333333333,70,-0.038095238095238106
aligned,3,A,7,5,0,16.5,0.0,0.238095238095238,-0.3333333333333333,60,0.004761904761904731
aligned,3,B,7,0,6,16.5,0.0,0.0,0.6666666666666667,60,0.13333333333333336
aligned,3,C,7,1,0,16.5,0.0,0.0476190476190476,-0.3333333333333333,60,-0.05238095238095239
aligned,4,A,7,5,0,13.166666666666668,0.067750677506775,0.2777777777777778,-0.3211382113821138,50,0.05298102981029808
aligned,4,B,4,0,4,14.666666666666668,-0.1355013550135501,0.0,0.6422764227642277,50,0.0607046070460705
aligned,4,C,7,0,0,13.166666666666668,0.067750677506775,0.0,-0.3211382113821138,50,-0.030352303523035258
aligned,5,A,7,5,0,23.166666666666668,0.0398158516859524,0.2631578947368421,-0.3286052009456265,80,0.033134254074903516
aligned,5,B,5,0,5,24.166666666666668,-0.0796317033719049,0.0,0.657210401891253,80,0.09162622869229817
aligned,5,C,7,3,0,23.166666666666668,0.0398158516859524,0.1578947368421052,-0.3286052009456265,80,0.0015553067064824483
